GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US40356,40356,"ZIP 40356 (Nicholasville, KY)",00,Total for all sectors,2008,917,12361,G,91885,G,387462,G
8610000US40357,40357,"ZIP 40357 (North Middletown, KY)",00,Total for all sectors,2008,7,40,G,184,G,687,G
8610000US40358,40358,"ZIP 40358 (Olympia, KY)",00,Total for all sectors,2008,11,99,G,777,G,5327,G
8610000US40359,40359,"ZIP 40359 (Owenton, KY)",00,Total for all sectors,2008,106,1142,G,7532,G,31467,G
8610000US40360,40360,"ZIP 40360 (Owingsville, KY)",00,Total for all sectors,2008,84,809,G,4603,G,17723,G
8610000US40361,40361,"ZIP 40361 (Paris, KY)",00,Total for all sectors,2008,341,5769,G,46935,G,194041,G
8610000US40362,40362,"ZIP 40362 (Paris, KY)",00,Total for all sectors,2008,24,111,G,533,G,2107,G
8610000US40363,40363,"ZIP 40363 (Perry Park, KY)",00,Total for all sectors,2008,5,25,G,114,G,845,G
8610000US40366,40366,"ZIP 40366 (Preston, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40370,40370,"ZIP 40370 (Sadieville, KY)",00,Total for all sectors,2008,23,54,G,279,G,1083,G
8610000US40371,40371,"ZIP 40371 (Salt Lick, KY)",00,Total for all sectors,2008,37,140,G,671,G,3641,G
8610000US40372,40372,"ZIP 40372 (Salvisa, KY)",00,Total for all sectors,2008,34,137,G,661,G,3076,G
8610000US40374,40374,"ZIP 40374 (Sharpsburg, KY)",00,Total for all sectors,2008,12,149,H,836,G,4392,H
8610000US40376,40376,"ZIP 40376 (Slade, KY)",00,Total for all sectors,2008,11,b,S,38,H,355,G
8610000US40379,40379,"ZIP 40379 (Stamping Ground, KY)",00,Total for all sectors,2008,29,160,G,1087,G,3819,G
8610000US40380,40380,"ZIP 40380 (Stanton, KY)",00,Total for all sectors,2008,110,1032,G,6221,G,26468,G
8610000US40383,40383,"ZIP 40383 (Versailles, KY)",00,Total for all sectors,2008,499,6632,G,63525,G,258207,G
8610000US40384,40384,"ZIP 40384 (Versailles, KY)",00,Total for all sectors,2008,1,b,D,D,D,D,D
8610000US40385,40385,"ZIP 40385 (Waco, KY)",00,Total for all sectors,2008,19,81,H,296,H,1368,H
8610000US40387,40387,"ZIP 40387 (Wellington, KY)",00,Total for all sectors,2008,13,b,S,124,G,798,H
8610000US40390,40390,"ZIP 40390 (Wilmore, KY)",00,Total for all sectors,2008,90,2143,G,8500,G,34810,G
8610000US40391,40391,"ZIP 40391 (Winchester, KY)",00,Total for all sectors,2008,765,12129,G,90531,G,366534,G
8610000US40392,40392,"ZIP 40392 (Winchester, KY)",00,Total for all sectors,2008,37,717,H,8251,H,34934,H
8610000US40402,40402,"ZIP 40402 (Annville, KY)",00,Total for all sectors,2008,28,416,G,2228,G,8763,G
8610000US40403,40403,"ZIP 40403 (Berea, KY)",00,Total for all sectors,2008,388,6796,G,53018,G,219340,G
8610000US40404,40404,"ZIP 40404 (Berea, KY)",00,Total for all sectors,2008,4,b,D,D,D,D,D
8610000US40405,40405,"ZIP 40405 (Bighill, KY)",00,Total for all sectors,2008,1,a,D,D,D,D,D
8610000US40409,40409,"ZIP 40409 (Brodhead, KY)",00,Total for all sectors,2008,31,295,G,1543,G,4627,G
8610000US40410,40410,"ZIP 40410 (Bryantsville, KY)",00,Total for all sectors,2008,3,8,G,17,G,204,G
8610000US40419,40419,"ZIP 40419 (Crab Orchard, KY)",00,Total for all sectors,2008,27,123,G,380,G,1292,G
8610000US40422,40422,"ZIP 40422 (Danville, KY)",00,Total for all sectors,2008,695,13713,H,100352,H,418903,H
8610000US40423,40423,"ZIP 40423 (Danville, KY)",00,Total for all sectors,2008,27,336,G,1609,G,6574,G
8610000US40434,40434,"ZIP 40434 (Gray Hawk, KY)",00,Total for all sectors,2008,8,37,H,143,G,635,G
8610000US40437,40437,"ZIP 40437 (Hustonville, KY)",00,Total for all sectors,2008,40,196,G,778,G,3222,G
8610000US40440,40440,"ZIP 40440 (Junction City, KY)",00,Total for all sectors,2008,17,83,G,303,G,1843,G
8610000US40442,40442,"ZIP 40442 (Kings Mountain, KY)",00,Total for all sectors,2008,4,13,G,68,G,304,G
8610000US40444,40444,"ZIP 40444 (Lancaster, KY)",00,Total for all sectors,2008,204,1540,G,7764,G,33326,G
8610000US40445,40445,"ZIP 40445 (Livingston, KY)",00,Total for all sectors,2008,2,a,D,D,D,D,D
8610000US40446,40446,"ZIP 40446 (Lancaster, KY)",00,Total for all sectors,2008,7,b,D,D,D,D,D
8610000US40447,40447,"ZIP 40447 (Mc Kee, KY)",00,Total for all sectors,2008,73,1006,H,6830,G,27930,G
8610000US40448,40448,"ZIP 40448 (Mc Kinney, KY)",00,Total for all sectors,2008,4,22,G,31,G,179,G
8610000US40456,40456,"ZIP 40456 (Mount Vernon, KY)",00,Total for all sectors,2008,184,1901,G,11804,H,51870,H
8610000US40460,40460,"ZIP 40460 (Orlando, KY)",00,Total for all sectors,2008,3,b,D,D,D,D,D
8610000US40461,40461,"ZIP 40461 (Paint Lick, KY)",00,Total for all sectors,2008,27,131,G,869,G,3657,G
8610000US40464,40464,"ZIP 40464 (Parksville, KY)",00,Total for all sectors,2008,8,20,G,39,G,237,G
8610000US40468,40468,"ZIP 40468 (Perryville, KY)",00,Total for all sectors,2008,18,81,G,355,G,1458,G
8610000US40472,40472,"ZIP 40472 (Ravenna, KY)",00,Total for all sectors,2008,16,63,H,205,G,947,G
8610000US40473,40473,"ZIP 40473 (Renfro Valley, KY)",00,Total for all sectors,2008,3,b,D,D,D,D,D
8610000US40475,40475,"ZIP 40475 (Richmond, KY)",00,Total for all sectors,2008,1157,14784,G,85679,G,358593,G
8610000US40476,40476,"ZIP 40476 (Richmond, KY)",00,Total for all sectors,2008,37,1169,H,10216,G,42649,G
8610000US40481,40481,"ZIP 40481 (Sandgap, KY)",00,Total for all sectors,2008,6,15,G,S,S,341,H
8610000US40484,40484,"ZIP 40484 (Stanford, KY)",00,Total for all sectors,2008,217,2642,G,20465,G,72564,G
8610000US40486,40486,"ZIP 40486 (Tyner, KY)",00,Total for all sectors,2008,7,67,G,359,G,1639,G
